item_id,strategy_name,post_title,author,primary_url,source_hash,source_vintage_note,backtest_start,backtest_end,post_time,post_modified_time,backtest_to_post_days,post_publication_days,natural_oos_eligible,oos_integrity_grade,strict_natural_oos,lineage_id,lineage_size,seed_priority,seed_label
2020年度精选策略/91 Stoch（KDJ）——大盘择时.txt,Stoch（KDJ）——大盘择时,Stoch（KDJ）——大盘择时,Max_Bai,https://www.joinquant.com/post/11103,8d05d4f897d02100625e132a14ae5b01d45ceff3106ad10a120a3f2d934c0aaf,current archive source has no pre-OOS immutable timestamp,2005-07-01,2018-02-01,2018-02-09 16:05:46,2018-02-09 16:05:46,8,3119,true,C,false,L-8cc3a7c13d,1,,
2020年度精选策略/93 RSRS——大盘择时.txt,RSRS——大盘择时,RSRS——大盘择时,Max_Bai,https://www.joinquant.com/post/11115,6b69b4d1b037db1cd2138cf73d2f8e1433c5333dc422e70f8f7c0fc6ce51ce79,current archive source has no pre-OOS immutable timestamp,2008-07-01,2018-02-01,2018-02-11 10:38:10,2018-02-11 10:38:10,10,3117,true,C,false,L-7951b8cee0,1,,
2020年度精选策略/38 一个简单的跟踪聪明钱策略.txt,一个简单的跟踪聪明钱策略,一个简单的跟踪聪明钱策略,castiel,https://www.joinquant.com/post/11165,1555bcf7a57d3667c2b4a8c6024669aaca95faff0d02e12292adf130273474f4,current archive source has no pre-OOS immutable timestamp,2007-01-01,2018-02-17,2018-02-19 10:08:41,2018-02-19 10:08:41,2,3109,true,C,false,L-da312b0f1c,1,,
2020年度精选策略/78 GFTD第二版.txt,GFTD第二版,GFTD第二版,lhclll,https://www.joinquant.com/post/11188,915ee1c573821f3a84ac3efc4260d8e8e4e53c0f82535f2ed41ba50c7863fbdb,current archive source has no pre-OOS immutable timestamp,2005-01-05,2018-02-21,2018-02-22 09:15:12,2018-02-22 09:15:12,1,3106,true,C,false,L-4f925ea011,1,,
2020年度精选策略/42 低估值+TRIX+RSI 低回撤策略.txt,低估值+TRIX+RSI 低回撤策略,低估值+TRIX+RSI 低回撤策略,观天之道执天之行,https://www.joinquant.com/post/11292,3a94d7011265887adafc908aea5bcc3514bfc8bad2ef9f2cfc8306bca3ed31c6,current archive source has no pre-OOS immutable timestamp,2005-06-03,2018-02-01,2018-03-02 19:37:32,2018-03-02 19:37:32,29,3098,true,C,false,L-53c25f9ad0,1,,
2020年度精选策略/31 低PB价值投资策略分享.txt,低PB价值投资策略分享,低PB价值投资策略分享,对韭纲割,https://www.joinquant.com/post/11549,bd3d69417d0f69f57dd1ce517a321ad278ac31c12e4ad2a78b22f8816153f513,current archive source has no pre-OOS immutable timestamp,2014-01-01,2018-01-30,2018-03-20 03:09:57,2018-03-20 03:09:57,49,3080,true,C,false,L-f9a649e4b0,1,,
2020年度精选策略/02 我好像破解了聚宽擂台排第一的策略？！.txt,我好像破解了聚宽擂台排第一的策略？！,我好像破解了聚宽擂台排第一的策略？！,止一之路,https://www.joinquant.com/post/11593,b015412e4dd65380d198bfaae05338d27c735d4f3757340d8fd7f91f8b1e1a76,current archive source has no pre-OOS immutable timestamp,2016-08-01,2018-03-20,2018-03-21 22:19:46,2018-03-21 22:19:46,1,3079,true,C,false,L-cae03ea82c,2,,
2020年度精选策略/06 为什么股票市值是当前的样子？.txt,为什么股票市值是当前的样子？,为什么股票市值是当前的样子？,止一之路,https://www.joinquant.com/post/11624,63fd1990ff56411c770943ae34fa1ce0b4875ab7dd469d83d4c06f8af3272e33,current archive source has no pre-OOS immutable timestamp,2012-01-01,2017-12-31,2018-03-23 22:13:10,2018-03-23 22:13:10,82,3077,true,C,false,L-8ec1ffedca,1,,
2020年度精选策略/23 Principle by Jim Slater 祖鲁法则在A股的实现与改进.txt,Principle by Jim Slater 祖鲁法则在A股的实现与改进,Principle by Jim Slater: 祖鲁法则在A股的实现与改进,JQ-RANGEWOLF,https://www.joinquant.com/post/11619,73e5599ae82bfe1ac0f04fea83fbb525cefb89acd72604f5f4e2843e99d10597,current archive source has no pre-OOS immutable timestamp,2009-01-01,2018-01-31,2018-03-23 16:11:37,2018-03-23 16:11:37,51,3077,true,C,false,L-912e360936,1,,
2020年度精选策略/97 银行翻倍策略.txt,银行翻倍策略, 银行翻倍策略,x483zhan,https://www.joinquant.com/post/11681,832e71a6effaf4438e625f9f7c2ccc324193d5eb65086bfe185f8707ae70f828,current archive source has no pre-OOS immutable timestamp,2012-01-01,2017-12-31,2018-03-28 11:15:13,2018-03-28 11:15:13,87,3072,true,C,false,L-7903d65771,1,,
2020年度精选策略/92 多因子选股策略.txt,多因子选股策略,多因子选股策略,桑梓,https://www.joinquant.com/post/11713,3cd2587c6485bd3a3c881817b1ab253a62919af6de4ce40b8abb6ee3d850c967,current archive source has no pre-OOS immutable timestamp,2014-12-09,2018-03-06,2018-03-29 15:07:42,2018-03-29 15:07:42,23,3071,true,C,false,L-fedbc664e9,1,,
2020年度精选策略/19 招行_海天配对策略（学习招行伊利配对）.txt,招行_海天配对策略（学习招行伊利配对）,招行_海天配对策略（学习招行伊利配对）,维络,https://www.joinquant.com/post/11736,7792d47393adec86c02457c8d12ec105b657e924ca162f0babae26579eb15734,current archive source has no pre-OOS immutable timestamp,2017-01-01,2018-03-23,2018-03-30 18:45:14,2018-03-30 18:45:14,7,3070,true,C,false,L-cae03ea82c,2,,
2020年度精选策略/13 招行_海天配对策略-改进版.txt,招行_海天配对策略-改进版,招行_海天配对策略-改进版,翼、轸,https://www.joinquant.com/post/11751,10742748d7e97b3877f23c65f9e391172e56c874731c28af9a47cc0656570fff,current archive source has no pre-OOS immutable timestamp,2014-05-01,2018-03-23,2018-04-01 03:04:25,2018-04-01 03:04:25,9,3068,true,C,false,L-bb8d73f985,2,,
2020年度精选策略/55 中小板-中证500配对交易.txt,中小板-中证500配对交易,中小板-中证500配对交易,翼、轸,https://www.joinquant.com/post/11764,4afa98007fe1fb1683b5c2d5bf38c96ff151243d09a05e02f97633e2cffac6d3,current archive source has no pre-OOS immutable timestamp,2014-01-01,2018-03-31,2018-04-01 18:44:50,2018-04-01 18:44:50,1,3068,true,C,false,L-bb8d73f985,2,,
2020年度精选策略/96 沪港两地上市的银行股翻倍策略报告.txt,沪港两地上市的银行股翻倍策略报告,沪港两地上市的银行股翻倍策略报告,x483zhan,https://www.joinquant.com/post/11948,1278ece1e68f81f0ffb84e6e129b903cb7fc27f3c2ac901fa4714ea644b1f8aa,current archive source has no pre-OOS immutable timestamp,2012-01-01,2018-04-08,2018-04-09 15:39:11,2018-04-09 15:39:11,1,3060,true,C,false,L-d7c811be47,1,,
2020年度精选策略/86 5日线穿十日线策略（供初学）.txt,5日线穿十日线策略（供初学）,5日线穿十日线策略（供初学）,开心的叶子,https://www.joinquant.com/post/12056,a75ec4491071a7314a3ded57d544dd2d609cc1dcceb5c71918780dc0a7852ff3,current archive source has no pre-OOS immutable timestamp,2017-04-01,2018-04-11,2018-04-12 16:08:00,2018-04-12 16:08:00,1,3057,true,C,false,L-1d86fa97c5,1,,
2020年度精选策略/89 test1：简单的多均线择时.txt,test1：简单的多均线择时,test1：简单的多均线择时,jianjianv589,https://www.joinquant.com/post/12143,195ad096bc50cf451376ed0b8264ff1401c1e41029f4ee8574473fed58521df5,current archive source has no pre-OOS immutable timestamp,2017-03-01,2018-04-16,2018-04-17 18:47:23,2018-04-17 18:47:23,1,3052,true,C,false,L-40e6234f40,1,,
2020年度精选策略/74 基于沪深300的增强.txt,基于沪深300的增强,基于沪深300的增强,3143592653,https://www.joinquant.com/post/12280,f530ff4cc424e43235df616a096c95c85c3eba8522b54cafb0932beafc02386d,current archive source has no pre-OOS immutable timestamp,2014-06-04,2018-04-20,2018-04-25 11:56:06,2018-04-25 11:56:06,5,3044,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/68 板块轮动不动？.txt,板块轮动不动？,板块轮动不动？,跟随哔哔做量化,https://www.joinquant.com/post/12307,78670f10c215b23436ed2fb3af632598233bfb51d05478beef4368229c76c88d,current archive source has no pre-OOS immutable timestamp,2017-01-01,2018-04-20,2018-04-26 16:01:56,2018-04-26 16:01:56,6,3043,true,C,false,L-e4afced9cd,1,,
2020年度精选策略/49 海龟克隆优化.txt,海龟克隆优化,海龟克隆优化,sdanyu,https://www.joinquant.com/post/12429,c6e343348d08ebc002ec780a45ce9e969ef050e2e55d202f00fe4db74dcf78c2,current archive source has no pre-OOS immutable timestamp,2018-01-01,2018-04-13,2018-05-03 16:06:21,2018-05-03 16:06:21,20,3036,true,C,false,L-4551c7394e,1,,
2020年度精选策略/10 追三板策略.txt,追三板策略,追三板策略,etrobot,https://www.joinquant.com/post/12648,e3dab6491015d728eff7dec5690dbbdef5880498937a8281b44f0ec64b610def,current archive source has no pre-OOS immutable timestamp,2018-01-01,2018-05-10,2018-05-15 17:19:44,2018-05-15 17:19:44,5,3024,true,C,false,L-6addd3f9e3,1,,
2020年度精选策略/47 次新小盘策略.txt,次新小盘策略,次新小盘策略,财源滚滚来,https://www.joinquant.com/post/12886,a4f867f972c788af42fe5777d36a806767b3e0d2b13c958166ff65b7bb160bce,current archive source has no pre-OOS immutable timestamp,2017-05-01,2018-05-28,2018-05-29 17:57:02,2018-05-29 17:57:02,1,3010,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/77 RSRS大盘择时优化.txt,RSRS大盘择时优化,RSRS大盘择时优化,flyingluc,https://www.joinquant.com/post/13065,8a2fbecfe0073798a06987278863229e92f9e39efb5ef311e53cc20273ef6eb1,current archive source has no pre-OOS immutable timestamp,2010-06-01,2018-05-28,2018-06-07 11:39:09,2018-06-07 11:39:09,10,3001,true,C,false,L-64efa8bc1a,1,,
2020年度精选策略/34 成长策略.txt,成长策略,成长策略,清远杨伟强,https://www.joinquant.com/post/13090,25f3b1b98f43cdbf6a79ba14afcbb033a0be22fee54ff71edceef310f4032e32,current archive source has no pre-OOS immutable timestamp,2018-01-08,2018-06-08,2018-06-09 10:20:58,2018-06-09 10:20:58,1,2999,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/81 申万行业轮动策略.txt,申万行业轮动策略,申万行业轮动策略,JoinQuant聚宽-客服小A,https://www.joinquant.com/post/13107,50259d0075e8d9782cbd5272efe067b2236be4d25ae5b33ec33c939eaa8cdf29,current archive source has no pre-OOS immutable timestamp,2017-06-09,2018-06-09,2018-06-11 00:09:22,2018-06-11 00:09:22,2,2997,true,C,false,L-de966047b9,1,,
2020年度精选策略/45 布林带策略.txt,布林带策略,布林带策略,zimeng08,https://www.joinquant.com/post/13156,0c138309689edd4fa8e25c5a84c40f0f811c6eb5abdcd63dda12b96c0262092b,current archive source has no pre-OOS immutable timestamp,2016-06-01,2018-06-01,2018-06-12 20:50:29,2018-06-12 20:50:29,11,2996,true,C,false,L-586d9fef1f,1,,
2020年度精选策略/52 布林带1.txt,布林带1,布林带1,zimeng08,https://www.joinquant.com/post/13162,fb5dd995a8e4aa26ba4289c85d9bd85c95868b05efc2a717d9c73cfaed1f834f,current archive source has no pre-OOS immutable timestamp,2016-06-01,2018-06-01,2018-06-13 08:16:46,2018-06-13 08:16:46,12,2995,true,C,false,L-416597dab5,1,,
2020年度精选策略/98 机器学习SVM用法示例策略.txt,机器学习SVM用法示例策略,机器学习SVM用法示例策略,JoinQuant聚宽-客服小A,https://www.joinquant.com/post/13324,414648a044f8935c91b96491ade86bc87f45b59b24923f8c9e0dc01730224c0c,current archive source has no pre-OOS immutable timestamp,2015-06-01,2018-06-23,2018-06-25 00:04:24,2018-06-25 00:04:24,2,2983,true,C,false,L-c26667da61,1,,
"2020年度精选策略/80 向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨.txt","向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨","向导式 价值分析(一),成功避开股灾,大盘震荡跌时小涨",Guhhhhaa,https://www.joinquant.com/post/13378,cc3b8041c4c0e62cf2c9b4741f1a9d042e294f3056bde579389d00f37f566616,current archive source has no pre-OOS immutable timestamp,2006-06-01,2018-06-01,2018-06-28 18:59:03,2018-06-28 18:59:03,27,2980,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/82 次新+小市值+KAMA择时 轮动.txt,次新+小市值+KAMA择时 轮动,次新+小市值+KAMA择时 轮动,月明星稀,https://www.joinquant.com/post/13400,6eab8b183d4074299f77d85f844ef8da5eb8eb8a21ea7d621513ec9ab3a94c59,current archive source has no pre-OOS immutable timestamp,2016-01-01,2018-06-29,2018-06-30 13:20:02,2018-06-30 13:20:02,1,2978,true,C,false,L-23fc169c90,1,,
2020年度精选策略/12 【均值回归】基于zscore的均值回归策略（胜率100%）.txt,【均值回归】基于zscore的均值回归策略（胜率100%）,【均值回归】基于zscore的均值回归策略（胜率100%）,Rookie888,https://www.joinquant.com/post/13673,f80bee128cb5d78e0125eb333f787d0736453b5a87f3bae3a90995df2bb618b2,current archive source has no pre-OOS immutable timestamp,2013-01-01,2018-07-07,2018-07-08 22:33:07,2018-07-08 22:33:07,1,2970,true,C,false,L-4743db5f7f,1,,
2020年度精选策略/18 均值回归策略分享.txt,均值回归策略分享,均值回归策略分享,JimStein,https://www.joinquant.com/post/13706,4d54f7ea948bc069c9226f6507167a84dbc6e5db3b11ec75d8d9006e0915c808,current archive source has no pre-OOS immutable timestamp,2013-01-01,2018-07-09,2018-07-11 03:22:04,2018-07-11 03:22:04,2,2967,true,C,false,L-69beb110c9,1,,
2020年度精选策略/73 跟着港资（北向资金）买A股.txt,跟着港资（北向资金）买A股,跟着港资（北向资金）买A股,cgzol,https://www.joinquant.com/post/13848,52bf355a3584805bef0a894fdcb054559079eb19276d0478c7794158c8f97058,current archive source has no pre-OOS immutable timestamp,2017-01-01,2018-07-18,2018-07-19 23:10:12,2018-07-19 23:10:12,1,2959,true,C,false,L-12a50073e8,1,,
2020年度精选策略/57 黄泽森策略.txt,黄泽森策略,黄泽森策略,hzs,https://www.joinquant.com/post/13974,0261d3192baab37ba58ac636567b439640b9a90091661a64022201731d19e36d,current archive source has no pre-OOS immutable timestamp,2017-06-01,2018-07-01,2018-07-26 19:15:47,2018-07-26 19:15:47,25,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/60 投资期末作业.txt,投资期末作业,投资期末作业,这个话,https://www.joinquant.com/post/13976,e121a6c1edf3d0fe769d7acd1dfeb4b17d6523195f9963aa63e9c5ded46a827b,current archive source has no pre-OOS immutable timestamp,2017-06-30,2018-06-30,2018-07-26 19:20:58,2018-07-26 19:20:58,26,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/62 选股策略.txt,选股策略,选股策略,ElaineCheung,https://www.joinquant.com/post/13962,513caffe5d6f46b6c1528c92eac8b2b65b6a784670fe82f5d7fe3127270001e3,current archive source has no pre-OOS immutable timestamp,2017-07-01,2018-07-01,2018-07-26 15:12:01,2018-07-26 15:12:01,25,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/71 【投资学】CAPM单因子回归模型+ROE股票池（含止损）.txt,【投资学】CAPM单因子回归模型+ROE股票池（含止损）,【投资学】CAPM单因子回归模型+ROE股票池（含止损）,Summy,https://www.joinquant.com/post/13973,8a1b484a9115e19c0fa5b678134a053ae86d32209eed6b142a1b3c6c89692e78,current archive source has no pre-OOS immutable timestamp,2017-06-01,2018-06-30,2018-07-26 19:07:54,2018-07-26 19:07:54,26,2952,true,C,false,L-df67e72679,1,,
2020年度精选策略/75 财务因子策略.txt,财务因子策略,财务因子策略,BaeSuzy,https://www.joinquant.com/post/13968,873e82364936ce9f1aa6910933bc088ddfbaf7fb57780259bf66280fdc0f2e21,current archive source has no pre-OOS immutable timestamp,2016-12-31,2018-07-21,2018-07-26 17:13:47,2018-07-26 17:13:47,5,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/84 投资策略说明.txt,投资策略说明,投资策略说明,时雨煮酒,https://www.joinquant.com/post/13975,cb954e942bb436e6bbb3d9d301ff599ef6b00b2140ebee0a678cbea5df8b84a1,current archive source has no pre-OOS immutable timestamp,2017-06-01,2018-06-01,2018-07-26 19:17:42,2018-07-26 19:17:42,55,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/87 选股策略说明——张燕兰 16318320.txt,选股策略说明——张燕兰 16318320,选股策略说明——张燕兰 16318320,ElaineCheung,https://www.joinquant.com/post/13969,b04a97190b8d4e8ee4e3d13aead11947b34051beea2c606dd32a81fc5f3255ad,current archive source has no pre-OOS immutable timestamp,2017-07-01,2018-07-01,2018-07-26 17:16:18,2018-07-26 17:16:18,25,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/88 一位小白编辑的多因子选股策略.txt,一位小白编辑的多因子选股策略,一位小白编辑的多因子选股策略,周盼 16318348,https://www.joinquant.com/post/13958,bbc0c8a0cd3bee3c956de231914e84623fe495afe1c7646b52ec97a69490f381,current archive source has no pre-OOS immutable timestamp,2017-06-01,2018-06-30,2018-07-26 12:56:32,2018-07-26 12:56:32,26,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/94 PE和PB策略.txt,PE和PB策略,PE和PB策略,Jenny_,https://www.joinquant.com/post/13967,d778c0a71015b93fd466c7d3a1b461dd6e8df90448c3d1062c8d36488cb13d74,current archive source has no pre-OOS immutable timestamp,2017-07-01,2018-07-01,2018-07-26 16:01:48,2018-07-26 16:01:48,25,2952,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/41 多因子模型（三）-交易回测.txt,多因子模型（三）-交易回测,多因子模型（三）-交易回测,颖硕,https://www.joinquant.com/post/14084,ca1111a17e24882ad88de2df17cae444fadf7866348ca942bf6619b78db9f9e5,current archive source has no pre-OOS immutable timestamp,2016-07-13,2018-08-01,2018-08-02 22:21:26,2018-08-02 22:21:26,1,2945,true,C,false,L-0505cd59a4,1,,
2020年度精选策略/50 简单配对交易.txt,简单配对交易,简单配对交易,callen g,https://www.joinquant.com/post/14326,ef4aaf41d081bcad6005dca507e5bea761d8855f13fc74c77767af6c5ffb8070,current archive source has no pre-OOS immutable timestamp,2018-01-01,2018-08-24,2018-08-26 02:52:55,2018-08-26 02:52:55,2,2921,true,C,false,L-8b4b6e5e1f,1,,
2020年度精选策略/30 基于LSTM模型预测股票价格走势.txt,基于LSTM模型预测股票价格走势,基于LSTM模型预测股票价格走势,加菲猫,https://www.joinquant.com/post/14449,7ea8b7531618519fed91fad0528d52f5075cae07ff0bfb05169e5da8895591e7,current archive source has no pre-OOS immutable timestamp,2017-05-13,2018-03-24,2018-09-03 16:48:00,2018-09-03 16:48:00,163,2913,true,C,false,L-9b03ae7f2c,1,,
2020年度精选策略/64 12年年化34%，Sharpe1.2，银行股轮动.txt,12年年化34%，Sharpe1.2，银行股轮动,12年年化34%，Sharpe1.2，银行股轮动,Guhhhhaa,https://www.joinquant.com/post/14646,cf646cabdd42ef612fd4af9bb05290e56a46b21ba493f49622f467db5f8f1915,current archive source has no pre-OOS immutable timestamp,2006-06-01,2018-09-10,2018-09-17 07:45:53,2018-09-17 07:45:53,7,2899,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/44 新手初来，写了一个价值投资策略.txt,新手初来，写了一个价值投资策略,新手初来，写了一个价值投资策略,冰若,https://www.joinquant.com/post/14694,5c2f6079692faa755a92b6010dba791060db75ae2e7d3c96434a591df4681df3,current archive source has no pre-OOS immutable timestamp,2018-01-02,2018-09-20,2018-09-21 11:53:28,2018-09-21 11:53:28,1,2895,true,C,false,L-f0cfdafce0,35,,
2020年度精选策略/40 kdj指标配合accer过滤.txt,kdj指标配合accer过滤,kdj指标配合accer过滤,leonardo1001,https://www.joinquant.com/post/14847,78d60ad2112e17f76f3b16cabbe37e32e982e1e0812dc4388f40b16e905ab804,current archive source has no pre-OOS immutable timestamp,2018-01-01,2018-10-09,2018-10-11 13:48:00,2018-10-11 13:48:00,2,2875,true,C,false,L-0d9f4c6fa5,2,,
2020年度精选策略/48 再测一支.txt,再测一支,再测一支,leonardo1001,https://www.joinquant.com/post/14860,a6a84137738fdf75f56383418f5eca4edd760d13736e86b77fb53abf4c11d7ff,current archive source has no pre-OOS immutable timestamp,2018-01-01,2018-10-09,2018-10-12 13:06:29,2018-10-12 13:06:29,3,2874,true,C,false,L-0d9f4c6fa5,2,,
2020年度精选策略/85 【第一次玩】我就是要买便宜股系列.txt,【第一次玩】我就是要买便宜股系列,【第一次玩】我就是要买便宜股系列,带头喝三鹿,https://www.joinquant.com/post/14986,965e940cca292d76f5b8970a46c5c7914b7ccc2f2d7ad90b072ba09ef6ba5805,current archive source has no pre-OOS immutable timestamp,2013-01-01,2018-10-22,2018-10-24 17:05:03,2018-10-24 17:05:03,2,2862,true,C,false,L-12ddcfcb11,1,,
2020年度精选策略/05 兄台且慢，去天台排队不如看看这个策略先.txt,兄台且慢，去天台排队不如看看这个策略先,价值选股与RSRS择时,K线放荡不羁,https://www.joinquant.com/post/15002,9124f05eadeebaeec72fb757eb0d2ef7c7204eb45c261e501c7a61a5fa658a61,current archive source has no pre-OOS immutable timestamp,2013-10-10,2018-10-10,2018-10-28 00:32:11,2018-10-28 00:32:11,18,2858,true,C,false,L-46e39ea221,1,,
2020年度精选策略/29 KD指标量化交易策略.txt,KD指标量化交易策略,KD指标量化交易策略,mxh,https://www.joinquant.com/post/15078,0e9d15a4a6a6c92e71523e2050bbd1b8281ec998bb2dcccfd6185fe8379a3e78,current archive source has no pre-OOS immutable timestamp,2016-03-02,2018-10-30,2018-11-02 09:50:19,2018-11-02 09:50:19,3,2853,true,C,false,L-4734656212,1,,
2020年度精选策略/83 沪深300ETF-1060双均线.txt,沪深300ETF-1060双均线,沪深300ETF-1060双均线,小雪人,https://www.joinquant.com/post/15265,8d67a7ead17d757ee2b2edd59ace74c29fcfcda0536dc859d1ffb95e905886c3,current archive source has no pre-OOS immutable timestamp,2014-06-01,2018-11-13,2018-11-14 17:59:25,2018-11-14 17:59:25,1,2841,true,C,false,L-c525da2998,1,,
2020年度精选策略/01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt,AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长,期货 AdaptiveMA自适应均线,cicikml,https://www.joinquant.com/post/15565,2bde9f0fc97918a421aa03b9d731de9a45d3d550ae2a195deb18962ac3e22471,current archive source has no pre-OOS immutable timestamp,2012-01-01,2018-12-05,2018-12-07 16:18:41,2018-12-07 16:18:41,2,2818,true,C,false,L-4c3601b0a3,2,,
2020年度精选策略/09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt,商品期货 多品种日频双均线模型 作为给入门者的小礼物,商品期货 多品种日频双均线模型 作为给入门者的小礼物,cicikml,https://www.joinquant.com/post/15556,bffaa16e846345101b10c57f791b4a567abcfe69ac81520b8c65b29c04051864,current archive source has no pre-OOS immutable timestamp,2012-01-01,2018-11-25,2018-12-07 12:40:27,2018-12-07 12:40:27,12,2818,true,C,false,L-4c3601b0a3,2,,
